molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,4700.0,intermediate
CHEMBL1170353,N#Cc1c(SCc2ccccc2)nc2c(c1-c1ccsc1)CCCC2,8000.0,intermediate
CHEMBL1170354,N#Cc1c(SCc2ccc(Cl)cc2)nc2c(c1-c1ccsc1)CCCC2,10000.0,inactive
CHEMBL1170563,N#Cc1c(SCC(=O)c2ccccc2)nc2c(c1-c1ccsc1)CCCC2,2300.0,intermediate
CHEMBL1170564,N#Cc1c(SCC(=O)c2ccc(Cl)cc2)nc2c(c1-c1ccsc1)CCCC2,8600.0,intermediate
CHEMBL1172300,N#Cc1c(SCC(=O)Nc2ccc(Cl)cc2)nc2c(c1-c1ccsc1)CCCC2,14000.0,inactive
CHEMBL1170550,CN1CCc2nc(SCC(=O)c3ccc(Cl)cc3)c(C#N)c(-c3ccsc3)c2C1,27000.0,inactive
CHEMBL1170551,N#Cc1c(N)nc(SCc2ccccc2)c(C#N)c1-c1ccsc1,19000.0,inactive
CHEMBL1170552,N#Cc1c(N)nc(SCc2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,8300.0,intermediate
CHEMBL1170760,COc1ccc(CSc2nc(N)c(C#N)c(-c3ccsc3)c2C#N)cc1,13000.0,inactive
CHEMBL1171520,Cc1ccc(CSc2nc(N)c(C#N)c(-c3ccsc3)c2C#N)cc1,11000.0,inactive
CHEMBL1169812,N#Cc1c(N)nc(SCc2ccc(Cl)c(Cl)c2)c(C#N)c1-c1ccsc1,9200.0,intermediate
CHEMBL1171960,N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1,3400.0,intermediate
CHEMBL1172147,N#Cc1c(N)nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,690.0,active
CHEMBL1172148,COc1ccc(C(=O)CSc2nc(N)c(C#N)c(-c3ccsc3)c2C#N)cc1,3600.0,intermediate
CHEMBL1170217,Cc1ccc(C(=O)CSc2nc(N)c(C#N)c(-c3ccsc3)c2C#N)cc1,5000.0,intermediate
CHEMBL1170218,N#Cc1ccc(C(=O)CSc2nc(N)c(C#N)c(-c3ccsc3)c2C#N)cc1,39000.0,inactive
CHEMBL1172696,N#Cc1c(N)nc(SCC(=O)c2ccc(C(F)(F)F)cc2)c(C#N)c1-c1ccsc1,3600.0,intermediate
CHEMBL1171688,N#Cc1c(N)nc(SCC(=O)c2cccc(Cl)c2)c(C#N)c1-c1ccsc1,26000.0,inactive
CHEMBL1172697,N#Cc1c(SCc2ccc(F)cc2)nc2c(c1-c1cccs1)CCCC2,4800.0,intermediate
CHEMBL1171912,N#Cc1c(SCc2ccccc2)nc2c(c1-c1cccs1)CCCC2,1600.0,intermediate
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,97.0,active
CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,10000.0,inactive
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,1.0,active
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1700.0,intermediate
CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,2100.0,intermediate
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,9.0,active
CHEMBL1258913,O=C(Nc1n[nH]c2cc(C(=O)N[C@H](CN3CCCC3)c3ccccc3)sc12)c1ccc(N2CCOCC2)cc1,113.0,active
CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,10000.0,inactive
CHEMBL1276179,CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1,160.0,active
CHEMBL2012519,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,10000.0,inactive
CHEMBL1651521,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,7200.0,intermediate
